Code,Name,Costing Method,Sales account,Don't delete
0761711010510,LITTLE TREES VANILLAROMA 1PC,FIFO,Sales Select,5200200
076171101556,LITTLETRS BLK ICE1PC,FIFO,Sales Shoc+,5200300
076171101891,LITTLE TREES N CAR SCENT 1PC,FIFO,Sales Shoc+,5200300
076171103123,LITTLE TREES STRAWBERRY 1PC,FIFO,Sales Shoc+,5200300
076171103161,LITTLE TREES GREEN APPLE 1PC,FIFO,Sales Shoc+,5200300
076171104359,LITTLE TREES LAVENDER 1PK,FIFO,Sales Shoc+,5200300
076171173324,LITTLE TREES SLICED 1PC,FIFO,Sales Shoc+,5200300
0761711787498,LITTLE TREES BLACK ICE 1PC,FIFO,Sales Select,5200200
0767,White Grape Ice Tea-(L),FIFO,Sales Chatime,5200500
077330570060,ROYAL DANSK LW VANILLA CREAM 350G,FIFO,Sales Select,5200200
0795678500838,WD-40 277ML,FIFO,Sales Shoc+,5200300
079567850113,WD-40 382ML,FIFO,Sales Shoc+,5200300
080432400432,CHIVAS REGAL AGED 12 YEARS 1L,FIFO,Sales Select,5200200
080432402931,CHIVAS REGAL BLENDED SCOTCH WHISKY 700ML,FIFO,Sales Shoc+,5200300
0804324092931,CHIVAS REGAL 700ML,FIFO,Sales Shoc+,5200300
080480005269,BACARDI BLACK 750ML,FIFO,Sales Select,5200200
080480015404,BACARDI SUPERIOR 750ML,FIFO,Sales Select,5200200
080686001201,JIM BEAM BOURBON WHISKEY 1L,FIFO,Sales Select,5200200
080686001409,JIM BEAM WHISKEY 1L,FIFO,Sales Select,5200200
080686006015,JIM BEAM HONEY WHISKEY 700ML,FIFO,Sales Select,5200200
082184090473,JACK DANIELS 700ML,FIFO,Sales Select,5200200
0850000036260,CARLO ROSSI CHARDONN,FIFO,Sales Select,5200200
085000023211,CARLO ROSSI PINK MOSCATO 750ML,FIFO,Sales Select,5200200
085000025123,CARLO ROSSI RED MOSCATE 750ML,FIFO,Sales Select,5200200
085592121043,TEQUILA ROSE 750ML,FIFO,Sales Select,5200200
086428411062,HEINEKEN 330ML,FIFO,Sales Select,5200200
0881073113893,SAMYANG SPICY CANTON 1PC,FIFO,Sales Select,5200200
0895,Passion Fruit Black Tea-(L),FIFO,Sales Chatime,5200500
0896,Passion Fruit Black Tea-(H),FIFO,Sales Chatime,5200500
0897,Passion Fruit Black Tea-(R),FIFO,Sales Chatime,5200500
0897399001028,OISHI RIBBED CRACKLINGS 90G,FIFO,Sales Select,5200200
0898,Lychee Black Tea-(R),FIFO,Sales Chatime,5200500
0898999000022,VITA COCO COCONUT WATER 330ML,FIFO,Sales Select,5200200
0899,Lychee Black Tea-(L),FIFO,Sales Chatime,5200500
091400000486,CALIFRONIA SCENTS PORNBERRY CRUSH 42G,FIFO,Sales Shoc+,5200300
0914000025270,CALIFORNIA SCECHE,FIFO,Sales Shoc+,5200300
0914000025416,CALIFORNIA SCENTS COOL GEL LEMON 1PC,FIFO,Sales Select,5200200
0914000025584,CALIFORNIA SCENTS COOL GEL SBERRY 1PC,FIFO,Sales Select,5200200
